S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S  1000  7110  1258  0  80   0   236  1986 wait   ?        00:00:00 bash
S  1000  7112  7110  0  80   0   360  2279 wait   ?        00:00:00 bash
S     0  7145  7112  0  80   0   472  4355 -      ?        00:00:00 sudo
S     0  7148  7145  0  80   0   340  1092 -      ?        00:00:00 sh
S     0  7405     2  0  80   0     0     0 -      ?        00:00:00 kauditd
S   106  7417  1258  0  80   0   876 10757 -      ?        00:00:00 dbus-daemon
S     0  7446  1258  0  80   0   328 16377 -      ?        00:00:00 sshd
S     0  7454  7148  0  80   0   460 12858 -      ?        00:00:00 su
S  1000  7460  7454  0  80   0     0  4014 wait   ?        00:00:00 xinit
S  1000  7464  7460  0  80   0 103612 95526 poll_s ?       00:25:15 Xorg
Z     0  7530  7464  0  80   0     0     0 -      ?        00:00:00 pkexec <defunct>
S     0  7534  1258  0  80   0  3092 69610 -      ?        00:00:00 polkitd
S  1000  7540  7460  0  80   0   544  1125 wait   ?        00:00:00 croutonxinitrc-
S  1000  7549  7540  0  80   0   716  1125 wait   ?        00:00:03 croutonpowerd
S  1000  7550  7540  0  80   0   572  1125 wait   ?        00:00:00 croutontriggerd
S  1000  7562  7550  0  80   0   712  1125 wait   ?        00:00:09 croutontriggerd
S  1000  7563  7550  0  80   0    20  1125 wait   ?        00:00:00 croutontriggerd
S  1000  7567  7563  0  80   0   664  1896 pipe_w ?        00:00:43 mawk
S  1000  7569  7562  0  80   0   536  2016 evdev_ ?        00:00:00 hexdump
S  1000  7570  7562  0  80   0     0  2016 evdev_ ?        00:00:00 hexdump
S  1000  7571  7562  0  80   0     0  2016 evdev_ ?        00:00:00 hexdump
S  1000  7572  7562  0  80   0     0  2016 evdev_ ?        00:00:00 hexdump
S  1000  7573  7562  0  80   0   588  2016 evdev_ ?        00:00:01 hexdump
S  1000  7574  7562  0  80   0   572  2016 evdev_ ?        00:01:16 hexdump
S  1000  7575  7562  0  80   0     0  2016 evdev_ ?        00:00:00 hexdump
S  1000  7576  7562  0  80   0     0  2016 evdev_ ?        00:00:00 hexdump
S  1000  7577  7562  0  80   0   524  2016 evdev_ ?        00:00:00 hexdump
S  1000  7585  1258  0  80   0   740 13361 poll_s ?        00:00:00 xbindkeys
S  1000  7599  7540  0  80   0   548  1125 wait   ?        00:00:00 xinitrc
S  1000  7609  7599  0  80   0  2968 80229 poll_s ?        00:00:02 xfce4-session
S  1000  7612  1258  0  80   0   580 10899 poll_s ?        00:00:00 dbus-launch
S  1000  7613  1258  0  80   0  1376 10783 SYSC_e ?        00:00:29 dbus-daemon
S  1000  7617  1258  0  80   0  1552 11909 poll_s ?        00:00:00 xfconfd
S  1000  7621  1258  0  80   0     0  2785 -      ?        00:00:00 ssh-agent
S  1000  7622  7609  0  80   0 12272 93242 poll_s ?        00:01:40 xfwm4
S  1000  7623  7609  0  80   0 15256 317842 poll_s ?       00:00:54 Thunar
S  1000  7625  7609  0  80   0  9740 100091 poll_s ?       00:00:18 xfce4-panel
S  1000  7629  1258  0  80   0   640 68283 poll_s ?        00:00:00 gvfsd
S  1000  7630  1258  0  80   0  3244 90815 poll_s ?        00:00:02 xfsettingsd
S  1000  7635  7609  0  80   0  7432 122375 poll_s ?       00:00:06 xfdesktop
S  1000  7639  1258  0  80   0  1104 71041 poll_s ?        00:00:00 gvfs-udisks2-vo
S     0  7645  1258  0  80   0  1504 86105 -      ?        00:00:02 upowerd
S     0  7648  1258  0  80   0  1852 108286 -     ?        00:00:00 udisksd
S  1000  7671  1258  0  80   0  2952 79717 poll_s ?        00:00:07 xfce4-power-man
S  1000  7682  7625  0  80   0  4148 38522 poll_s ?        00:00:07 panel-7-battery
S  1000  7684  7625  0  80   0  5680 78533 poll_s ?        00:00:00 panel-6-systray
S  1000  7686  7625  0  80   0  5668 80563 poll_s ?        00:00:00 panel-2-actions
S  1000  7698  1258  0  80   0   844 87353 poll_s ?        00:00:00 gvfsd-trash
S  1000  7715  1258  0  80   0   288 46164 poll_s ?        00:00:21 gvfsd-metadata
S  1000  7721  7609  0  80   0  1168 16315 poll_s ?        00:00:07 xscreensaver
S  1000  7743  1258  0  80   0  2700 109405 poll_s ?       00:00:01 xfce4-volumed
S  1000  7762  1258  0  80   0  4168 217443 poll_s ?       00:00:52 pulseaudio
S   109  7766  1258  0  81   1   716 45885 -      ?        00:00:00 rtkit-daemon
S  1000  8002  1258  0  80   0   696 84436 poll_s ?        00:00:00 at-spi-bus-laun
S     0  8953     1  0  80   0     4  2183 -      ?        00:00:00 minijail-init
S 20106  8956  8953  0  80   0  1584  7129 -      ?        00:00:00 ml_service
S  1000 10853  7625  0  80   0  5896 89816 poll_s ?        00:00:00 xfce4-clipman
S  1000 11629 26601  0  80   0  5100  6017 wait   pts/4    00:00:00 bash
S     0 12095     2  0  80   0     0     0 -      ?        00:00:02 kworker/u4:1
S  1000 12502 28931  0  80   0  1848 31393 SYSC_e pts/5    00:00:01 nvim
R  1000 12707 29467  1  80   0 205996 743989 -    ?        00:53:37 Web Content
S     0 13189     2  0   9   -     0     0 -      ?        00:00:00 irq/44-mmc0
S     0 13190     2  0   9   -     0     0 -      ?        00:00:00 irq/47-mmc1
S  1000 13329  1640  0  80   0   552  6477 -      ?        00:00:00 cros-disks-INIT
S  1000 13331 13329  0  80   0 12280 302130 SYSC_e ?       00:00:10 drivefs
S  1000 13424  1383  0  80   0 81828 1172206 futex_ ?      00:00:24 chrome
S  1000 13642  1383  1  80   0 114280 1222551 futex_ ?     00:04:31 chrome
S     0 14379     2  0  80   0     0     0 -      ?        00:00:02 kworker/u4:2
S  1000 14502  7630  0  80   0  2496 127005 poll_s ?       00:00:01 xfce4-appfinder
S     0 14915     2  0  60 -20     0     0 -      ?        00:00:00 kworker/u5:0
